run_id,step,train_loss,val_loss,val_acc
pan-0862ac9440,0,4.740993499755859,4.728435039520264,0.008352910168468952
pan-0862ac9440,200,4.731227397918701,4.746271133422852,0.00678673991933465
pan-0862ac9440,400,4.722201347351074,4.747426509857178,0.007308796513825655
pan-0862ac9440,600,4.725712299346924,4.748939514160156,0.0070477682165801525
pan-0862ac9440,800,4.716235160827637,4.742130279541016,0.007830853573977947
pan-0862ac9440,1000,4.635534763336182,4.669414520263672,0.02009919099509716
pan-0862ac9440,1200,4.466407775878906,4.507323741912842,0.047376662492752075
pan-0862ac9440,1400,4.2375640869140625,4.30409049987793,0.10767423361539841
pan-0862ac9440,1600,4.048272132873535,4.088874340057373,0.14330461621284485
pan-0862ac9440,1800,3.8386318683624268,3.8800976276397705,0.18050117790699005
pan-0862ac9440,2000,3.686044216156006,3.7039172649383545,0.21587052941322327
pan-0862ac9440,2200,3.5199711322784424,3.54347562789917,0.22552858293056488
pan-0862ac9440,2400,3.397190809249878,3.4104509353637695,0.2533281147480011
pan-0862ac9440,2600,3.241269826889038,3.2883450984954834,0.28439050912857056
pan-0862ac9440,2800,3.145472288131714,3.179109811782837,0.2896110713481903
pan-0862ac9440,3000,3.075594663619995,3.080022096633911,0.31375619769096375
pan-0862ac9440,3200,2.960426092147827,2.986737012863159,0.3324197232723236
pan-0862ac9440,3400,2.8752105236053467,2.9092555046081543,0.35095274448394775
pan-0862ac9440,3600,2.8141536712646484,2.832465887069702,0.36152440309524536
pan-0862ac9440,3800,2.7405827045440674,2.7614760398864746,0.3858000636100769
pan-0862ac9440,4000,2.6676137447357178,2.7054319381713867,0.40237537026405334
pan-0862ac9440,4200,2.6016428470611572,2.633528232574463,0.3940224349498749
pan-0862ac9440,4400,2.537642240524292,2.5714828968048096,0.4180370569229126
pan-0862ac9440,4600,2.507976770401001,2.523921012878418,0.45758289098739624
pan-0862ac9440,4800,2.418131113052368,2.469937324523926,0.4543200135231018
pan-0862ac9440,5000,2.3711369037628174,2.4212729930877686,0.4818585216999054
pan-0862ac9440,5200,2.3769619464874268,2.373307943344116,0.4980422854423523
pan-0862ac9440,5400,2.341825246810913,2.3301312923431396,0.5062646865844727
pan-0862ac9440,5600,2.231931209564209,2.293856143951416,0.5276690125465393
pan-0862ac9440,5800,2.208754777908325,2.241034746170044,0.5330200791358948
pan-0862ac9440,6000,2.169820547103882,2.1962730884552,0.558600902557373
pan-0862ac9440,6200,2.142957925796509,2.1628634929656982,0.5608196258544922
pan-0862ac9440,6400,2.1059443950653076,2.147033214569092,0.5840511322021484
pan-0862ac9440,6600,2.06732439994812,2.1038949489593506,0.5706081986427307
pan-0862ac9440,6800,2.053072929382324,2.06722354888916,0.6016705632209778
pan-0862ac9440,7000,2.0142407417297363,2.0389063358306885,0.6023231744766235
pan-0862ac9440,7200,1.9764360189437866,2.005695104598999,0.6108065843582153
pan-0862ac9440,7400,1.9393352270126343,1.977102279663086,0.6151135563850403
pan-0862ac9440,7600,1.890690803527832,1.939576506614685,0.6232054233551025
pan-0862ac9440,7800,1.9081803560256958,1.8774030208587646,0.6585747599601746
pan-0862ac9440,8000,1.8313181400299072,1.8578722476959229,0.6370399594306946
pan-0862ac9440,8200,1.8036240339279175,1.8222659826278687,0.6622291803359985
pan-0862ac9440,8400,1.7641658782958984,1.7896275520324707,0.6738449335098267
pan-0862ac9440,8600,1.7609220743179321,1.7620848417282104,0.7071260809898376
pan-0862ac9440,8800,1.7062567472457886,1.7314249277114868,0.7114330530166626
pan-0862ac9440,9000,1.6883503198623657,1.7109854221343994,0.7240929007530212
pan-0862ac9440,9200,1.6933492422103882,1.6760252714157104,0.7440615892410278
pan-0862ac9440,9400,1.6511226892471313,1.6482340097427368,0.74928218126297
pan-0862ac9440,9600,1.5808944702148438,1.6252871751785278,0.764421820640564
pan-0862ac9440,9800,1.5665302276611328,1.5942623615264893,0.7689898014068604
pan-0862ac9440,10000,1.514009714126587,1.5761492252349854,0.7696424126625061
pan-0862ac9440,10200,1.4803011417388916,1.54217529296875,0.788305938243866
pan-0862ac9440,10400,1.5093363523483276,1.517298698425293,0.8005742430686951
pan-0862ac9440,10600,1.4365384578704834,1.497005820274353,0.799138605594635
pan-0862ac9440,10800,1.4372384548187256,1.4616132974624634,0.8174105882644653
pan-0862ac9440,11000,1.4174281358718872,1.4385950565338135,0.8269381523132324
pan-0862ac9440,11200,1.3959872722625732,1.414943814277649,0.8274601697921753
pan-0862ac9440,11400,1.3731474876403809,1.3791859149932861,0.8489950299263
pan-0862ac9440,11600,1.352977991104126,1.360772728919983,0.8610023260116577
pan-0862ac9440,11800,1.3369947671890259,1.3385564088821411,0.8516052961349487
pan-0862ac9440,12000,1.3286255598068237,1.317428469657898,0.8680500984191895
pan-0862ac9440,12200,1.2587922811508179,1.296087622642517,0.8675280809402466
pan-0862ac9440,12400,1.2517211437225342,1.2720296382904053,0.883581280708313
pan-0862ac9440,12600,1.236355185508728,1.2509428262710571,0.8898459672927856
pan-0862ac9440,12800,1.2079373598098755,1.2275933027267456,0.9004176259040833
pan-0862ac9440,13000,1.1954325437545776,1.2138888835906982,0.9043330550193787
pan-0862ac9440,13200,1.1726641654968262,1.1865392923355103,0.9092926383018494
